,100line,avgall,avg1-5,answer
1,0.88,0.98,1.089,FALSE
2,0.503,0.785,1.07,FALSE
3,0.254,0.651,1.057,FALSE
4,0.113,0.439,0.783,FALSE
5,0.269,0.72,1.171,FALSE
6,0.698,1.013,1.333,TRUE
7,0.527,1.212,1.904,FALSE
8,1.15,1.12,1.097,FALSE
9,1.41,1.311,1.202,TRUE
10,1.621,1.529,1.43,TRUE
11,0.993,1.252,1.514,TRUE
12,0.677,1.005,1.337,TRUE
13,0.44,1.453,2.477,TRUE
14,1.667,1.937,2.209,FALSE
15,0.445,0.748,1.046,FALSE
16,0.369,1.058,1.748,FALSE
17,0.095,0.577,1.061,FALSE
18,0.871,1.02,1.17,FALSE
19,0.549,1.058,1.569,FALSE
20,0.456,1.024,1.596,TRUE
21,0.426,1.57,2.74,TRUE
22,0.306,1.52,2.731,TRUE
23,0.208,0.679,1.154,FALSE
24,0.631,0.883,1.137,None
25,0.515,1.155,1.799,FALSE
26,0.421,0.942,1.471,None
